ANSWER;PERSONID;MATCHOR;ASPPRI;DO
O;A;NO;PF;VB
O;A;YES;PF;VB
O;A;YES;PF;S
N;A;NO;PF;S
O;A;YES;PF;S
O;A;NO;PF;S
N;A;YES;PF;VB
O;A;NO;PF;VB
O;A;YES;PF;V
O;A;NO;PF;V
O;A;YES;PF;S
O;A;NO;PF;S
O;A;YES;IPF;VB
N;A;NO;IPF;VB
O;A;NO;IPF;S
N;A;YES;IPF;S
N;A;NO;IPF;S
O;A;YES;IPF;S
O;A;YES;IPF;VB
O;A;NO;IPF;VB
O;A;YES;PF;V
O;A;NO;PF;V
O;A;YES;PF;VB
O;A;NO;PF;VB
O;A;YES;PF;VB
O;A;NO;PF;VB
O;A;YES;PF;V
O;A;NO;PF;V
O;A;NO;PF;V
O;A;YES;PF;V
O;A;YES;PF;VB
O;A;NO;PF;VB
N;A;NO;IPF;V
O;A;YES;IPF;V
O;B;NO;PF;VB
O;B;YES;PF;VB
O;B;YES;PF;S
N;B;NO;PF;S
O;B;YES;PF;S
N;B;NO;PF;S
N;B;YES;PF;VB
O;B;NO;PF;VB
O;B;YES;PF;V
O;B;NO;PF;V
N;B;YES;PF;S
O;B;NO;PF;S
O;B;YES;IPF;VB
N;B;NO;IPF;VB
O;B;NO;IPF;S
N;B;YES;IPF;S
N;B;NO;IPF;S
O;B;YES;IPF;S
O;B;YES;IPF;VB
N;B;NO;IPF;VB
O;B;YES;PF;V
O;B;NO;PF;V
O;B;YES;PF;VB
O;B;NO;PF;VB
O;B;YES;PF;VB
O;B;NO;PF;VB
O;B;YES;PF;V
O;B;NO;PF;V
O;B;NO;PF;V
O;B;YES;PF;V
O;B;YES;PF;VB
O;B;NO;PF;VB
O;B;NO;IPF;V
O;B;YES;IPF;V
O;C;NO;PF;VB
O;C;YES;PF;VB
O;C;YES;PF;S
O;C;NO;PF;S
O;C;YES;PF;S
O;C;NO;PF;S
O;C;YES;PF;VB
O;C;NO;PF;VB
O;C;YES;PF;V
O;C;NO;PF;V
N;C;YES;PF;S
O;C;NO;PF;S
O;C;YES;IPF;VB
N;C;NO;IPF;VB
O;C;NO;IPF;S
N;C;YES;IPF;S
N;C;NO;IPF;S
O;C;YES;IPF;S
O;C;YES;IPF;VB
N;C;NO;IPF;VB
O;C;YES;PF;V
N;C;NO;PF;V
O;C;YES;PF;VB
O;C;NO;PF;VB
O;C;YES;PF;VB
O;C;NO;PF;VB
N;C;YES;PF;V
O;C;NO;PF;V
O;C;NO;PF;V
N;C;YES;PF;V
O;C;YES;PF;VB
N;C;NO;PF;VB
N;C;NO;IPF;V
O;C;YES;IPF;V
N;D;NO;PF;VB
O;D;YES;PF;VB
O;D;YES;PF;S
N;D;NO;PF;S
O;D;YES;PF;S
N;D;NO;PF;S
O;D;YES;PF;VB
O;D;NO;PF;VB
O;D;YES;PF;V
O;D;NO;PF;V
O;D;YES;PF;S
O;D;NO;PF;S
O;D;YES;IPF;VB
O;D;NO;IPF;VB
O;D;NO;IPF;S
O;D;YES;IPF;S
N;D;NO;IPF;S
O;D;YES;IPF;S
O;D;YES;IPF;VB
O;D;NO;IPF;VB
O;D;YES;PF;V
N;D;NO;PF;V
N;D;YES;PF;VB
O;D;NO;PF;VB
O;D;YES;PF;VB
N;D;NO;PF;VB
N;D;YES;PF;V
O;D;NO;PF;V
O;D;NO;PF;V
N;D;YES;PF;V
O;D;YES;PF;VB
O;D;NO;PF;VB
N;D;NO;IPF;V
O;D;YES;IPF;V
O;E;NO;PF;VB
O;E;YES;PF;VB
O;E;YES;PF;S
O;E;NO;PF;S
O;E;YES;PF;S
N;E;NO;PF;S
N;E;YES;PF;VB
O;E;NO;PF;VB
O;E;YES;PF;V
N;E;NO;PF;V
N;E;YES;PF;S
O;E;NO;PF;S
O;E;YES;IPF;VB
N;E;NO;IPF;VB
O;E;NO;IPF;S
O;E;YES;IPF;S
O;E;NO;IPF;S
O;E;YES;IPF;S
O;E;YES;IPF;VB
O;E;NO;IPF;VB
O;E;YES;PF;V
N;E;NO;PF;V
O;E;YES;PF;VB
O;E;NO;PF;VB
O;E;YES;PF;VB
N;E;NO;PF;VB
O;E;YES;PF;V
O;E;NO;PF;V
O;E;NO;PF;V
N;E;YES;PF;V
N;E;YES;PF;VB
O;E;NO;PF;VB
N;E;NO;IPF;V
O;E;YES;IPF;V
O;F;NO;PF;VB
O;F;YES;PF;VB
O;F;YES;PF;S
O;F;NO;PF;S
O;F;YES;PF;S
N;F;NO;PF;S
O;F;YES;PF;VB
O;F;NO;PF;VB
O;F;YES;PF;V
O;F;NO;PF;V
O;F;YES;PF;S
O;F;NO;PF;S
O;F;YES;IPF;VB
O;F;NO;IPF;VB
O;F;NO;IPF;S
N;F;YES;IPF;S
N;F;NO;IPF;S
O;F;YES;IPF;S
O;F;YES;IPF;VB
N;F;NO;IPF;VB
O;F;YES;PF;V
O;F;NO;PF;V
O;F;YES;PF;VB
O;F;NO;PF;VB
O;F;YES;PF;VB
N;F;NO;PF;VB
O;F;YES;PF;V
O;F;NO;PF;V
O;F;NO;PF;V
O;F;YES;PF;V
O;F;YES;PF;VB
O;F;NO;PF;VB
N;F;NO;IPF;V
O;F;YES;IPF;V
O;G;NO;PF;VB
O;G;YES;PF;VB
O;G;YES;PF;S
O;G;NO;PF;S
O;G;YES;PF;S
O;G;NO;PF;S
O;G;YES;PF;VB
O;G;NO;PF;VB
O;G;YES;PF;V
O;G;NO;PF;V
O;G;YES;PF;S
O;G;NO;PF;S
O;G;YES;IPF;VB
N;G;NO;IPF;VB
O;G;NO;IPF;S
O;G;YES;IPF;S
O;G;NO;IPF;S
O;G;YES;IPF;S
O;G;YES;IPF;VB
O;G;NO;IPF;VB
O;G;YES;PF;V
O;G;NO;PF;V
O;G;YES;PF;VB
O;G;NO;PF;VB
O;G;YES;PF;VB
N;G;NO;PF;VB
O;G;YES;PF;V
O;G;NO;PF;V
O;G;NO;PF;V
O;G;YES;PF;V
O;G;YES;PF;VB
O;G;NO;PF;VB
N;G;NO;IPF;V
O;G;YES;IPF;V
O;H;NO;PF;VB
O;H;YES;PF;VB
O;H;YES;PF;S
O;H;NO;PF;S
O;H;YES;PF;S
O;H;NO;PF;S
O;H;YES;PF;VB
O;H;NO;PF;VB
O;H;YES;PF;V
O;H;NO;PF;V
O;H;YES;PF;S
O;H;NO;PF;S
O;H;YES;IPF;VB
O;H;NO;IPF;VB
O;H;NO;IPF;S
N;H;YES;IPF;S
O;H;NO;IPF;S
O;H;YES;IPF;S
O;H;YES;IPF;VB
O;H;NO;IPF;VB
O;H;YES;PF;V
O;H;NO;PF;V
O;H;YES;PF;VB
O;H;NO;PF;VB
O;H;YES;PF;VB
O;H;NO;PF;VB
O;H;YES;PF;V
O;H;NO;PF;V
O;H;NO;PF;V
O;H;YES;PF;V
N;H;YES;PF;VB
O;H;NO;PF;VB
N;H;NO;IPF;V
O;H;YES;IPF;V
O;I;NO;PF;VB
O;I;YES;PF;VB
O;I;YES;PF;S
O;I;NO;PF;S
O;I;YES;PF;S
N;I;NO;PF;S
O;I;YES;PF;VB
O;I;NO;PF;VB
O;I;YES;PF;V
O;I;NO;PF;V
N;I;YES;PF;S
O;I;NO;PF;S
O;I;YES;IPF;VB
N;I;NO;IPF;VB
O;I;NO;IPF;S
N;I;YES;IPF;S
N;I;NO;IPF;S
O;I;YES;IPF;S
O;I;YES;IPF;VB
N;I;NO;IPF;VB
O;I;YES;PF;V
N;I;NO;PF;V
O;I;YES;PF;VB
O;I;NO;PF;VB
O;I;YES;PF;VB
O;I;NO;PF;VB
O;I;YES;PF;V
O;I;NO;PF;V
O;I;NO;PF;V
N;I;YES;PF;V
O;I;YES;PF;VB
N;I;NO;PF;VB
N;I;NO;IPF;V
O;I;YES;IPF;V
O;J;NO;PF;VB
O;J;YES;PF;VB
O;J;YES;PF;S
O;J;NO;PF;S
N;J;YES;PF;S
O;J;NO;PF;S
O;J;YES;PF;VB
O;J;NO;PF;VB
O;J;YES;PF;V
O;J;NO;PF;V
O;J;YES;PF;S
O;J;NO;PF;S
O;J;YES;IPF;VB
N;J;NO;IPF;VB
O;J;NO;IPF;S
N;J;YES;IPF;S
N;J;NO;IPF;S
O;J;YES;IPF;S
O;J;YES;IPF;VB
N;J;NO;IPF;VB
O;J;YES;PF;V
O;J;NO;PF;V
O;J;YES;PF;VB
O;J;NO;PF;VB
O;J;YES;PF;VB
N;J;NO;PF;VB
O;J;YES;PF;V
O;J;NO;PF;V
N;J;NO;PF;V
O;J;YES;PF;V
O;J;YES;PF;VB
O;J;NO;PF;VB
O;J;NO;IPF;V
O;J;YES;IPF;V
O;K;NO;PF;VB
O;K;YES;PF;VB
O;K;YES;PF;S
N;K;NO;PF;S
O;K;YES;PF;S
N;K;NO;PF;S
O;K;YES;PF;VB
N;K;NO;PF;VB
O;K;YES;PF;V
O;K;NO;PF;V
O;K;YES;PF;S
O;K;NO;PF;S
O;K;YES;IPF;VB
N;K;NO;IPF;VB
O;K;NO;IPF;S
N;K;YES;IPF;S
N;K;NO;IPF;S
O;K;YES;IPF;S
O;K;YES;IPF;VB
N;K;NO;IPF;VB
O;K;YES;PF;V
N;K;NO;PF;V
O;K;YES;PF;VB
O;K;NO;PF;VB
O;K;YES;PF;VB
N;K;NO;PF;VB
O;K;YES;PF;V
O;K;NO;PF;V
O;K;NO;PF;V
O;K;YES;PF;V
O;K;YES;PF;VB
N;K;NO;PF;VB
N;K;NO;IPF;V
O;K;YES;IPF;V
O;L;NO;PF;VB
O;L;YES;PF;VB
O;L;YES;PF;S
O;L;NO;PF;S
O;L;YES;PF;S
N;L;NO;PF;S
O;L;YES;PF;VB
O;L;NO;PF;VB
O;L;YES;PF;V
O;L;NO;PF;V
O;L;YES;PF;S
O;L;NO;PF;S
O;L;YES;IPF;VB
O;L;NO;IPF;VB
O;L;NO;IPF;S
O;L;YES;IPF;S
N;L;NO;IPF;S
O;L;YES;IPF;S
O;L;YES;IPF;VB
N;L;NO;IPF;VB
O;L;YES;PF;V
O;L;NO;PF;V
O;L;YES;PF;VB
O;L;NO;PF;VB
O;L;YES;PF;VB
O;L;NO;PF;VB
O;L;YES;PF;V
O;L;NO;PF;V
O;L;NO;PF;V
O;L;YES;PF;V
O;L;YES;PF;VB
O;L;NO;PF;VB
N;L;NO;IPF;V
O;L;YES;IPF;V
O;M;NO;PF;VB
O;M;YES;PF;VB
O;M;YES;PF;S
N;M;NO;PF;S
O;M;YES;PF;S
N;M;NO;PF;S
O;M;YES;PF;VB
O;M;NO;PF;VB
O;M;YES;PF;V
O;M;NO;PF;V
O;M;YES;PF;S
O;M;NO;PF;S
O;M;YES;IPF;VB
O;M;NO;IPF;VB
O;M;NO;IPF;S
O;M;YES;IPF;S
O;M;NO;IPF;S
O;M;YES;IPF;S
O;M;YES;IPF;VB
N;M;NO;IPF;VB
O;M;YES;PF;V
N;M;NO;PF;V
O;M;YES;PF;VB
O;M;NO;PF;VB
O;M;YES;PF;VB
O;M;NO;PF;VB
O;M;YES;PF;V
O;M;NO;PF;V
O;M;NO;PF;V
O;M;YES;PF;V
O;M;YES;PF;VB
O;M;NO;PF;VB
N;M;NO;IPF;V
O;M;YES;IPF;V
O;N;NO;PF;VB
O;N;YES;PF;VB
N;N;YES;PF;S
O;N;NO;PF;S
O;N;YES;PF;S
N;N;NO;PF;S
N;N;YES;PF;VB
O;N;NO;PF;VB
O;N;YES;PF;V
O;N;NO;PF;V
O;N;YES;PF;S
N;N;NO;PF;S
O;N;YES;IPF;VB
N;N;NO;IPF;VB
O;N;NO;IPF;S
N;N;YES;IPF;S
N;N;NO;IPF;S
O;N;YES;IPF;S
O;N;YES;IPF;VB
N;N;NO;IPF;VB
O;N;YES;PF;V
O;N;NO;PF;V
O;N;YES;PF;VB
O;N;NO;PF;VB
O;N;YES;PF;VB
N;N;NO;PF;VB
O;N;YES;PF;V
N;N;NO;PF;V
O;N;NO;PF;V
O;N;YES;PF;V
O;N;YES;PF;VB
N;N;NO;PF;VB
N;N;NO;IPF;V
O;N;YES;IPF;V
O;O;NO;PF;VB
O;O;YES;PF;VB
O;O;YES;PF;S
O;O;NO;PF;S
O;O;YES;PF;S
O;O;NO;PF;S
O;O;YES;PF;VB
O;O;NO;PF;VB
O;O;YES;PF;V
O;O;NO;PF;V
O;O;YES;PF;S
O;O;NO;PF;S
O;O;YES;IPF;VB
N;O;NO;IPF;VB
O;O;NO;IPF;S
O;O;YES;IPF;S
N;O;NO;IPF;S
O;O;YES;IPF;S
O;O;YES;IPF;VB
O;O;NO;IPF;VB
O;O;YES;PF;V
N;O;NO;PF;V
O;O;YES;PF;VB
O;O;NO;PF;VB
O;O;YES;PF;VB
O;O;NO;PF;VB
O;O;YES;PF;V
O;O;NO;PF;V
O;O;NO;PF;V
O;O;YES;PF;V
O;O;YES;PF;VB
O;O;NO;PF;VB
N;O;NO;IPF;V
O;O;YES;IPF;V
O;P;NO;PF;VB
O;P;YES;PF;VB
O;P;YES;PF;S
O;P;NO;PF;S
O;P;YES;PF;S
N;P;NO;PF;S
O;P;YES;PF;VB
O;P;NO;PF;VB
O;P;YES;PF;V
O;P;NO;PF;V
O;P;YES;PF;S
O;P;NO;PF;S
O;P;YES;IPF;VB
O;P;NO;IPF;VB
O;P;NO;IPF;S
O;P;YES;IPF;S
N;P;NO;IPF;S
O;P;YES;IPF;S
O;P;YES;IPF;VB
O;P;NO;IPF;VB
O;P;YES;PF;V
O;P;NO;PF;V
O;P;YES;PF;VB
O;P;NO;PF;VB
O;P;YES;PF;VB
O;P;NO;PF;VB
O;P;YES;PF;V
O;P;NO;PF;V
O;P;NO;PF;V
O;P;YES;PF;V
O;P;YES;PF;VB
O;P;NO;PF;VB
N;P;NO;IPF;V
O;P;YES;IPF;V
O;Q;NO;PF;VB
O;Q;YES;PF;VB
O;Q;YES;PF;S
O;Q;NO;PF;S
O;Q;YES;PF;S
O;Q;NO;PF;S
O;Q;YES;PF;VB
O;Q;NO;PF;VB
O;Q;YES;PF;V
N;Q;NO;PF;V
N;Q;YES;PF;S
O;Q;NO;PF;S
O;Q;YES;IPF;VB
N;Q;NO;IPF;VB
O;Q;NO;IPF;S
N;Q;YES;IPF;S
N;Q;NO;IPF;S
O;Q;YES;IPF;S
O;Q;YES;IPF;VB
O;Q;NO;IPF;VB
O;Q;YES;PF;V
O;Q;NO;PF;V
O;Q;YES;PF;VB
O;Q;NO;PF;VB
O;Q;YES;PF;VB
N;Q;NO;PF;VB
O;Q;YES;PF;V
O;Q;NO;PF;V
O;Q;NO;PF;V
O;Q;YES;PF;V
O;Q;YES;PF;VB
O;Q;NO;PF;VB
N;Q;NO;IPF;V
O;Q;YES;IPF;V
O;R;NO;PF;VB
O;R;YES;PF;VB
O;R;YES;PF;S
N;R;NO;PF;S
O;R;YES;PF;S
N;R;NO;PF;S
O;R;YES;PF;VB
O;R;NO;PF;VB
N;R;YES;PF;V
O;R;NO;PF;V
O;R;YES;PF;S
O;R;NO;PF;S
O;R;YES;IPF;VB
O;R;NO;IPF;VB
O;R;NO;IPF;S
O;R;YES;IPF;S
O;R;NO;IPF;S
O;R;YES;IPF;S
O;R;YES;IPF;VB
N;R;NO;IPF;VB
O;R;YES;PF;V
O;R;NO;PF;V
N;R;YES;PF;VB
O;R;NO;PF;VB
O;R;YES;PF;VB
N;R;NO;PF;VB
O;R;YES;PF;V
O;R;NO;PF;V
O;R;NO;PF;V
O;R;YES;PF;V
O;R;YES;PF;VB
O;R;NO;PF;VB
O;R;NO;IPF;V
O;R;YES;IPF;V
O;S;NO;PF;VB
O;S;YES;PF;VB
O;S;YES;PF;S
O;S;NO;PF;S
N;S;YES;PF;S
O;S;NO;PF;S
N;S;YES;PF;VB
N;S;NO;PF;VB
O;S;YES;PF;V
N;S;NO;PF;V
N;S;YES;PF;S
O;S;NO;PF;S
O;S;YES;IPF;VB
N;S;NO;IPF;VB
O;S;NO;IPF;S
N;S;YES;IPF;S
N;S;NO;IPF;S
O;S;YES;IPF;S
O;S;YES;IPF;VB
N;S;NO;IPF;VB
O;S;YES;PF;V
N;S;NO;PF;V
N;S;YES;PF;VB
O;S;NO;PF;VB
O;S;YES;PF;VB
N;S;NO;PF;VB
O;S;YES;PF;V
O;S;NO;PF;V
O;S;NO;PF;V
N;S;YES;PF;V
N;S;YES;PF;VB
O;S;NO;PF;VB
N;S;NO;IPF;V
O;S;YES;IPF;V
N;T;NO;PF;VB
O;T;YES;PF;VB
O;T;YES;PF;S
N;T;NO;PF;S
N;T;YES;PF;S
O;T;NO;PF;S
N;T;YES;PF;VB
O;T;NO;PF;VB
O;T;YES;PF;V
O;T;NO;PF;V
N;T;YES;PF;S
O;T;NO;PF;S
O;T;YES;IPF;VB
O;T;NO;IPF;VB
N;T;NO;IPF;S
O;T;YES;IPF;S
N;T;NO;IPF;S
O;T;YES;IPF;S
O;T;YES;IPF;VB
O;T;NO;IPF;VB
O;T;YES;PF;V
O;T;NO;PF;V
N;T;YES;PF;VB
O;T;NO;PF;VB
O;T;YES;PF;VB
N;T;NO;PF;VB
O;T;YES;PF;V
O;T;NO;PF;V
O;T;NO;PF;V
O;T;YES;PF;V
N;T;YES;PF;VB
O;T;NO;PF;VB
N;T;NO;IPF;V
O;T;YES;IPF;V
N;U;NO;PF;VB
O;U;YES;PF;VB
O;U;YES;PF;S
N;U;NO;PF;S
N;U;YES;PF;S
O;U;NO;PF;S
O;U;YES;PF;VB
O;U;NO;PF;VB
O;U;YES;PF;V
O;U;NO;PF;V
O;U;YES;PF;S
N;U;NO;PF;S
O;U;YES;IPF;VB
O;U;NO;IPF;VB
O;U;NO;IPF;S
O;U;YES;IPF;S
N;U;NO;IPF;S
O;U;YES;IPF;S
O;U;YES;IPF;VB
O;U;NO;IPF;VB
O;U;YES;PF;V
O;U;NO;PF;V
O;U;YES;PF;VB
O;U;NO;PF;VB
O;U;YES;PF;VB
N;U;NO;PF;VB
O;U;YES;PF;V
N;U;NO;PF;V
O;U;NO;PF;V
N;U;YES;PF;V
O;U;YES;PF;VB
N;U;NO;PF;VB
N;U;NO;IPF;V
O;U;YES;IPF;V
O;V;NO;PF;VB
O;V;YES;PF;VB
O;V;YES;PF;S
O;V;NO;PF;S
O;V;YES;PF;S
O;V;NO;PF;S
O;V;YES;PF;VB
O;V;NO;PF;VB
O;V;YES;PF;V
O;V;NO;PF;V
O;V;YES;PF;S
O;V;NO;PF;S
O;V;YES;IPF;VB
O;V;NO;IPF;VB
O;V;NO;IPF;S
N;V;YES;IPF;S
O;V;NO;IPF;S
O;V;YES;IPF;S
O;V;YES;IPF;VB
O;V;NO;IPF;VB
O;V;YES;PF;V
O;V;NO;PF;V
O;V;YES;PF;VB
O;V;NO;PF;VB
O;V;YES;PF;VB
O;V;NO;PF;VB
O;V;YES;PF;V
O;V;NO;PF;V
O;V;NO;PF;V
O;V;YES;PF;V
O;V;YES;PF;VB
O;V;NO;PF;VB
O;V;NO;IPF;V
O;V;YES;IPF;V
O;W;NO;PF;VB
O;W;YES;PF;VB
O;W;YES;PF;S
O;W;NO;PF;S
O;W;YES;PF;S
N;W;NO;PF;S
O;W;YES;PF;VB
O;W;NO;PF;VB
O;W;YES;PF;V
O;W;NO;PF;V
O;W;YES;PF;S
O;W;NO;PF;S
O;W;YES;IPF;VB
O;W;NO;IPF;VB
O;W;NO;IPF;S
O;W;YES;IPF;S
O;W;NO;IPF;S
O;W;YES;IPF;S
O;W;YES;IPF;VB
O;W;NO;IPF;VB
O;W;YES;PF;V
O;W;NO;PF;V
O;W;YES;PF;VB
O;W;NO;PF;VB
O;W;YES;PF;VB
O;W;NO;PF;VB
O;W;YES;PF;V
O;W;NO;PF;V
O;W;NO;PF;V
O;W;YES;PF;V
O;W;YES;PF;VB
O;W;NO;PF;VB
N;W;NO;IPF;V
O;W;YES;IPF;V
O;X;NO;PF;VB
O;X;YES;PF;VB
O;X;YES;PF;S
O;X;NO;PF;S
O;X;YES;PF;S
N;X;NO;PF;S
O;X;YES;PF;VB
O;X;NO;PF;VB
O;X;YES;PF;V
O;X;NO;PF;V
O;X;YES;PF;S
O;X;NO;PF;S
O;X;YES;IPF;VB
O;X;NO;IPF;VB
O;X;NO;IPF;S
O;X;YES;IPF;S
N;X;NO;IPF;S
O;X;YES;IPF;S
O;X;YES;IPF;VB
O;X;NO;IPF;VB
O;X;YES;PF;V
O;X;NO;PF;V
O;X;YES;PF;VB
O;X;NO;PF;VB
O;X;YES;PF;VB
O;X;NO;PF;VB
O;X;YES;PF;V
O;X;NO;PF;V
O;X;NO;PF;V
O;X;YES;PF;V
O;X;YES;PF;VB
O;X;NO;PF;VB
N;X;NO;IPF;V
O;X;YES;IPF;V
N;Y;NO;PF;VB
O;Y;YES;PF;VB
O;Y;YES;PF;S
O;Y;NO;PF;S
N;Y;YES;PF;S
O;Y;NO;PF;S
O;Y;YES;PF;VB
O;Y;NO;PF;VB
O;Y;YES;PF;V
O;Y;NO;PF;V
N;Y;YES;PF;S
O;Y;NO;PF;S
O;Y;YES;IPF;VB
N;Y;NO;IPF;VB
O;Y;NO;IPF;S
N;Y;YES;IPF;S
N;Y;NO;IPF;S
O;Y;YES;IPF;S
O;Y;YES;IPF;VB
N;Y;NO;IPF;VB
O;Y;YES;PF;V
O;Y;NO;PF;V
O;Y;YES;PF;VB
O;Y;NO;PF;VB
O;Y;YES;PF;VB
N;Y;NO;PF;VB
O;Y;YES;PF;V
O;Y;NO;PF;V
O;Y;NO;PF;V
N;Y;YES;PF;V
N;Y;YES;PF;VB
O;Y;NO;PF;VB
N;Y;NO;IPF;V
O;Y;YES;IPF;V
O;Z;NO;PF;VB
O;Z;YES;PF;VB
O;Z;YES;PF;S
O;Z;NO;PF;S
O;Z;YES;PF;S
N;Z;NO;PF;S
O;Z;YES;PF;VB
O;Z;NO;PF;VB
O;Z;YES;PF;V
O;Z;NO;PF;V
O;Z;YES;PF;S
O;Z;NO;PF;S
O;Z;YES;IPF;VB
O;Z;NO;IPF;VB
O;Z;NO;IPF;S
O;Z;YES;IPF;S
O;Z;NO;IPF;S
O;Z;YES;IPF;S
O;Z;YES;IPF;VB
O;Z;NO;IPF;VB
O;Z;YES;PF;V
N;Z;NO;PF;V
O;Z;YES;PF;VB
O;Z;NO;PF;VB
O;Z;YES;PF;VB
O;Z;NO;PF;VB
O;Z;YES;PF;V
O;Z;NO;PF;V
O;Z;NO;PF;V
O;Z;YES;PF;V
O;Z;YES;PF;VB
O;Z;NO;PF;VB
N;Z;NO;IPF;V
O;Z;YES;IPF;V
O;AA;NO;PF;VB
O;AA;YES;PF;VB
O;AA;YES;PF;S
O;AA;NO;PF;S
O;AA;YES;PF;S
N;AA;NO;PF;S
O;AA;YES;PF;VB
O;AA;NO;PF;VB
O;AA;YES;PF;V
O;AA;NO;PF;V
O;AA;YES;PF;S
O;AA;NO;PF;S
O;AA;YES;IPF;VB
O;AA;NO;IPF;VB
O;AA;NO;IPF;S
O;AA;YES;IPF;S
O;AA;NO;IPF;S
O;AA;YES;IPF;S
O;AA;YES;IPF;VB
O;AA;NO;IPF;VB
O;AA;YES;PF;V
N;AA;NO;PF;V
O;AA;YES;PF;VB
O;AA;NO;PF;VB
O;AA;YES;PF;VB
O;AA;NO;PF;VB
O;AA;YES;PF;V
O;AA;NO;PF;V
O;AA;NO;PF;V
O;AA;YES;PF;V
O;AA;YES;PF;VB
O;AA;NO;PF;VB
N;AA;NO;IPF;V
O;AA;YES;IPF;V
O;AB;NO;PF;VB
O;AB;YES;PF;VB
O;AB;YES;PF;S
O;AB;NO;PF;S
O;AB;YES;PF;S
N;AB;NO;PF;S
O;AB;YES;PF;VB
O;AB;NO;PF;VB
O;AB;YES;PF;V
O;AB;NO;PF;V
O;AB;YES;PF;S
O;AB;NO;PF;S
O;AB;YES;IPF;VB
O;AB;NO;IPF;VB
O;AB;NO;IPF;S
O;AB;YES;IPF;S
O;AB;NO;IPF;S
O;AB;YES;IPF;S
O;AB;YES;IPF;VB
O;AB;NO;IPF;VB
O;AB;YES;PF;V
O;AB;NO;PF;V
O;AB;YES;PF;VB
O;AB;NO;PF;VB
O;AB;YES;PF;VB
N;AB;NO;PF;VB
O;AB;YES;PF;V
O;AB;NO;PF;V
O;AB;NO;PF;V
O;AB;YES;PF;V
O;AB;YES;PF;VB
O;AB;NO;PF;VB
N;AB;NO;IPF;V
O;AB;YES;IPF;V
O;AC;NO;PF;VB
O;AC;YES;PF;VB
O;AC;YES;PF;S
O;AC;NO;PF;S
O;AC;YES;PF;S
N;AC;NO;PF;S
O;AC;YES;PF;VB
O;AC;NO;PF;VB
O;AC;YES;PF;V
O;AC;NO;PF;V
O;AC;YES;PF;S
O;AC;NO;PF;S
O;AC;YES;IPF;VB
N;AC;NO;IPF;VB
O;AC;NO;IPF;S
O;AC;YES;IPF;S
N;AC;NO;IPF;S
O;AC;YES;IPF;S
O;AC;YES;IPF;VB
N;AC;NO;IPF;VB
O;AC;YES;PF;V
O;AC;NO;PF;V
O;AC;YES;PF;VB
O;AC;NO;PF;VB
O;AC;YES;PF;VB
N;AC;NO;PF;VB
O;AC;YES;PF;V
O;AC;NO;PF;V
O;AC;NO;PF;V
O;AC;YES;PF;V
O;AC;YES;PF;VB
N;AC;NO;PF;VB
N;AC;NO;IPF;V
O;AC;YES;IPF;V
O;AD;NO;PF;VB
O;AD;YES;PF;VB
O;AD;YES;PF;S
O;AD;NO;PF;S
O;AD;YES;PF;S
N;AD;NO;PF;S
O;AD;YES;PF;VB
O;AD;NO;PF;VB
O;AD;YES;PF;V
O;AD;NO;PF;V
O;AD;YES;PF;S
O;AD;NO;PF;S
O;AD;YES;IPF;VB
O;AD;NO;IPF;VB
O;AD;NO;IPF;S
N;AD;YES;IPF;S
O;AD;NO;IPF;S
O;AD;YES;IPF;S
O;AD;YES;IPF;VB
O;AD;NO;IPF;VB
O;AD;YES;PF;V
N;AD;NO;PF;V
O;AD;YES;PF;VB
O;AD;NO;PF;VB
O;AD;YES;PF;VB
O;AD;NO;PF;VB
O;AD;YES;PF;V
O;AD;NO;PF;V
O;AD;NO;PF;V
O;AD;YES;PF;V
O;AD;YES;PF;VB
O;AD;NO;PF;VB
N;AD;NO;IPF;V
O;AD;YES;IPF;V
O;AE;NO;PF;VB
O;AE;YES;PF;VB
O;AE;YES;PF;S
O;AE;NO;PF;S
O;AE;YES;PF;S
N;AE;NO;PF;S
O;AE;YES;PF;VB
O;AE;NO;PF;VB
O;AE;YES;PF;V
O;AE;NO;PF;V
O;AE;YES;PF;S
O;AE;NO;PF;S
O;AE;YES;IPF;VB
N;AE;NO;IPF;VB
O;AE;NO;IPF;S
N;AE;YES;IPF;S
N;AE;NO;IPF;S
O;AE;YES;IPF;S
O;AE;YES;IPF;VB
N;AE;NO;IPF;VB
O;AE;YES;PF;V
O;AE;NO;PF;V
O;AE;YES;PF;VB
O;AE;NO;PF;VB
O;AE;YES;PF;VB
O;AE;NO;PF;VB
O;AE;YES;PF;V
O;AE;NO;PF;V
O;AE;NO;PF;V
O;AE;YES;PF;V
O;AE;YES;PF;VB
O;AE;NO;PF;VB
N;AE;NO;IPF;V
O;AE;YES;IPF;V
O;AF;NO;PF;VB
O;AF;YES;PF;VB
O;AF;YES;PF;S
O;AF;NO;PF;S
O;AF;YES;PF;S
O;AF;NO;PF;S
O;AF;YES;PF;VB
O;AF;NO;PF;VB
O;AF;YES;PF;V
O;AF;NO;PF;V
O;AF;YES;PF;S
O;AF;NO;PF;S
O;AF;YES;IPF;VB
N;AF;NO;IPF;VB
O;AF;NO;IPF;S
N;AF;YES;IPF;S
O;AF;NO;IPF;S
O;AF;YES;IPF;S
O;AF;YES;IPF;VB
O;AF;NO;IPF;VB
O;AF;YES;PF;V
N;AF;NO;PF;V
