"LEFT_CONTEXT";"MODAL_VERB";"RIGHT_CONTEXT";"ASPINF";"TENSEPRI";"DO";"DATIVE";"MODIFIER";"NEGATION";"ORDER"
"сегодняшней Ф-1. «Я появилась в Williams на ГП Португалии’85, и первое, что мне";"  пришлось ";"делать, ― налаживать отношения с французской прессой, которая тогда просто ненавидела нас, потому что считала, что  ←…→ ";"IPF";"PAST";"PRON";"YES";"CLAUSE";"NO";"PRE"
"сдачей эскизов костюмов второго акта. Уже была подписана смета, а некоторых эскизов не хватало, поэтому";"  пришлось ";"делать подбор, что усложнило работу. И все же я работал с удовольствием. Приехал, прочитал с  ←…→ ";"IPF";"PAST";"SG";"NO";"YES";"NO";"POST"
"что юбки имели окантовку из керамики). Необходимость размещения внутренних воздуховодов привела к тому, что шасси";"  пришлось ";"делать весьма широкими и, как следствие, колея получилась непривычно большой: 1700 мм спереди и 1600  ←…→ ";"IPF";"PAST";"PL";"NO";"YES";"NO";"PRE"
"Матери стало плохо с сердцем.";"  Пришлось ";"делать впрыскивание. ― Не ври. ― Честное слово!   ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"После «Ежика в тумане» Жуковский ушел от Норштейна почему-то. «Сказку сказок»";"  пришлось ";"делать без него. Оператором стал Игорь Скидан-Босин. Юра потом долго добывал себе Жуковского.   ←…→ ";"IPF";"PAST";"SG";"NO";"YES";"NO";"PRE"
"― Ну, достань у кого-нибудь!";"  Пришлось ";"делать вид, что пошёл переговорить с проводником. Вернувшись, объясняю: ― Проводник ― женщина.   ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"как всегда, долго запрягали, а потом, хотя и поехали быстро, но все равно не успели:";"  пришлось ";"делать длинные объезды гор и оврагов помещичьих привилегий и общинной косности. Егор Гайдар, который, кстати  ←…→ ";"IPF";"PAST";"PL";"NO";"YES";"NO";"POST"
"его отношение к себе, особенно в первые годы совместной работы. В то время мне дважды";"  пришлось ";"делать нелегкие операции, блестяще проведенные профессорами Николаем Алексеевичем Лопаткиным и Николаем Никодимовичем Малиновским.   ←…→ ";"IPF";"PAST";"PL";"YES";"YES";"NO";"POST"
"когда понял, что с трудом может выдерживать атаки Ральфа. Забегая вперед, заметим, что это же";"  пришлось ";"делать и во время второго пит-стопа, и только после этого Ferrari Шумахера проявила себя во  ←…→ ";"IPF";"PAST";"PRON";"NO";"NO";"NO";"PRE"
"лучше пленку совсем не вынимать, пусть остается в камере. Чувствительность у нее слабая, а выдержку";"  пришлось ";"делать короткой, понадобится особый процесс, чтобы при проявке негативы получились терпимого качества… ― Договорились, ― сказал Жибеков  ←…→ ";"IPF";"PAST";"SG";"NO";"YES";"NO";"PRE"
