"LEFT_CONTEXT";"MODAL_VERB";"RIGHT_CONTEXT";"ASPINF";"TENSEPRI";"DO";"DATIVE";"MODIFIER";"NEGATION";"ORDER"
"хочешь сделать… Виктор налил себе еще джину и начал вспоминать, как все было, и ему";"  пришлось ";"сделать последний глоток, чтобы не сгореть от сраму. Как он приперся к этим ребятишкам, самовлюбленный  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"заглушившей все самые разнообразные события во всем мире. Пять лет спустя после смерти Прокофьева, мне";"  пришлось ";"сделать костюм для пантомимного номера замечательной русской мимической актрисы Беллы Рейн: «Химеры», на музыку Прокофьева  ←…→ ";"PF";"PAST";"SG";"YES";"NO";"NO";"POST"
"Драма, опера, фильм, балет. Что же касается «Чайки», то в 1958 году мне";"  пришлось ";"сделать костюмы для немецкой постановки «Чайки» в гамбургском национальном театре (Deutsches Schauspielhaus). Режиссером был Рудольф  ←…→ ";"PF";"PAST";"PL";"YES";"YES";"NO";"POST"
"сдаешь на хранение партбилет? ― спросил Рындин с такой уверенностью, что оба они коммунисты, что Лопатину";"  пришлось ";"сделать некоторое усилие над собой, объясняя, что он беспартийный. ― А чего же это вы? ― брякнул  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"Капитан сел у телефона и принялся терпеливо набирать номер диспетчерской Рыбного порта. Это";"  пришлось ";"сделать несколько раз, прежде чем послышался в трубке недовольный простуженный голос: ―… чем они там думают  ←…→ ";"PF";"PAST";"PRON";"NO";"YES";"NO";"PRE"
"На чистейшем сорочьем языке это значило: «Я согласна».";"  Пришлось ";"сделать порядочный крюк, но, улетая из города, не могла же она не заглянуть домой хоть  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"NO";"POST"
"была произведена через микроскоп киноаппаратом КС-50. Этот аппарат не приспособлен для микросъемки, и нам";"  пришлось ";"сделать много приспособлений, чтобы получить микрофотографии кожи кальмара. Получились замечательные кадры, на которых при увеличении  ←…→ ";"PF";"PAST";"PL";"YES";"NO";"NO";"POST"
"в Собинку тушить пожар и «был разочарован», потому что тушить не довелось и вообще не";"  пришлось ";"сделать ничего героического. Мог ли он предположить, что мирное течение жизни его нарушит и смертельно  ←…→ ";"PF";"PAST";"PRON";"NO";"NO";"YES";"POST"
"И вдруг наперерез машине помчалась неизвестно откуда взявшаяся собака. Джейми, чтобы не налететь на нее,";"  пришлось ";"сделать на полной скорости неожиданный и резкий вираж в сторону. Толпа ахнула и загудела. Но  ←…→ ";"PF";"PAST";"SG";"YES";"YES";"NO";"POST"
"Но порядок пришел не сразу. Вначале";"  пришлось ";"сделать нож ― острый каменный осколок, ― чтобы расщеплять кустарниковые побеги. Потом набить каменные осколки, которые походили  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"NO";"POST"
"надень, все нехорошо. Мне хотелось сделать шляпу с широкими полями, но материи не хватило, и";"  пришлось ";"сделать с узкими, а когда поля узкие, то лицо кажется круглым, а это не так  ←…→ ";"PF";"PAST";"NO";"NO";"NO";"NO";"NO"
"И всё развитие военных действий, и организация власти на освобожденной территории пошли непредвиденными путями. Мне";"  пришлось ";"сделать несколько рискованных попыток перебраться из оставшегося в стороне от военных действий Саратова через фронт  ←…→ ";"PF";"PAST";"PL";"YES";"YES";"NO";"POST"
"― Скажете, что на обратном пути нерпа зато сковала по Северу, заболела и умерла.";"  Пришлось ";"сделать из нее меховую жилетку. А жилетку и нерпичьего меха вы можете приобрести в Хабаровске  ←…→ ";"PF";"PAST";"SG";"NO";"NO";"NO";"POST"
"Таким образом табачный дым проходил через воду. Профессор курил сигары, но для приличия ему также";"  пришлось ";"сделать три затяжки, пока не сгорела маленькая порция табаку, положенная в трубку. Секретарь был некурящий  ←…→ ";"PF";"PAST";"PL";"YES";"NO";"NO";"POST"
"обоих сторожей, у которых сенегалец отобрал дубины. Цепь стрелков вокруг крааля поредела, так как не";"  пришлось ";"сделать ни одного выстрела: никто из жителей поселка и не пытался спастись бегством от небесных  ←…→ ";"PF";"PAST";"SG";"NO";"YES";"YES";"POST"
"й сериала «Фарго» опубликовать в виде книги, на каждой странице";"  придется ";"делать сноски. Конечно, прежде всего это стильная криминальная драма, смотреть ее с «Википедией» в соседней вкладке необязательно, и все же  ←…→ ";"IPF";"NON-PAST";"PL";"NO";"NO";"NO";"POST"
"делиться, чтобы не распыляться и не наступать друг другу на пятки. Поскольку у тебя со следователем взаимопонимание не достигнуто, тебе";"  придется ";"делать вид, что ты работаешь на стороне обвинения. Поэтому твоя задача – враги Болтенкова. Ты не ищешь доказательства невиновности Ламзина, ты  ←…→ ";"IPF";"NON-PAST";"SG";"YES";"NO";"NO";"POST"
"чужой» клинике У меня родственник серьезно болен, и врачи склоняются к тому, что ему нужна сложная операция, которую, скорее всего,";"  придется ";"делать в Москве или Петербурге. Но кто может ему посодействовать в поездке туда? Ведь наверняка требуется направление врача.   ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"YES";"NO";"PRE"
"выходил ли из машины следом за пассажиркой и водитель. Камер наблюдения на этой обычной «панельке» не водилось, так что все";"  придется ";"делать «вручную». Тот еще геморрой! То есть сам Роман Дзюба был готов выполнять и эту, и в десять раз более  ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"YES";"NO";"PRE"
"у власти приведет к тому, что маргинальные и экстремистские проявления вновь выйдут на первый план, поскольку при невозможности созидания ставку";"  придется ";"делать на разрушение и догматизм. Турция вроде бы демонстрирует пример удачного сочетания политики, основанной на религиозных постулатах, и успешного современного  ←…→ ";"IPF";"NON-PAST";"SG";"NO";"YES";"NO";"PRE"
"с появлением новых контуров (новое кольцо, мкжд), по крайней мере по мере приближения к центру ― просто потому, что многим не";"  придётся ";"делать замечательный крюк через центр.   ←…→ ";"IPF";"NON-PAST";"SG";"YES";"YES";"YES";"POST"
"ему там, в казарме, что ты не чёрт последний, а очень даже право имеющий. Но только не на словах это";"  придётся ";"делать, а чаще всего на кулаках. Что тяжелее. На практике итог бывает гораздо печальнее, чем ты проецируешь его в своих  ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"YES";"YES";"PRE"
"доставшего на якутской улице сотню зеленых, чтобы расплатиться. Однако даже большие американские карманы не могли подготовить коллегу ко всему, что";"  придется ";"делать в России: к многочисленным и безрезультатным походам по банкам, не выдающим рублей, к рандеву с местными мелкими мафиози, к  ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"NO";"NO";"PRE"
"[Vasilisk, nick] Можно ещё слой таких же пузырьков снаружи, а между ними обитаемая зона. Правда, освещение";"  придётся ";"делать искусственное. А можно несколько таких слоёв, как в матрёшке, для максимизации жилой поверхности. Остаётся убрать из центра планету и  ←…→ ";"IPF";"NON-PAST";"SG";"NO";"YES";"NO";"PRE"
"Просто молчать, изредка намекая, уже не получится. Рано или поздно";"  придется ";"делать выбор. Serguei. [Вы толерантны?   ←…→ ";"IPF";"NON-PAST";"SG";"NO";"YES";"NO";"POST"
"людей, живущих не своим очагом, им ничего не останется, как пойти в услужение к богатым людям. Ядне на старости лет";"  придется ";"делать самую грязную, тяжелую работу, Хадко наймется в пастухи ― за кусок мяса, сдобренный презрением и руганью. Гордость Мэбэта не перенесет  ←…→ ";"IPF";"NON-PAST";"SG";"YES";"YES";"NO";"POST"
"[Алексей Яковлев, жен] Все это ей";"  придется ";"делать через меня (ввиду цензуры в Китае), надеюсь, вас это не смутит. ]) # 15 июля Первый день получился очень насыщенным и  ←…→ ";"IPF";"NON-PAST";"PRON";"YES";"NO";"NO ";"PRE"
"И педали буду крутить, и руль у меня будет. Тебе ничего не";"  придется ";"делать! ―  Жалко,  ― она вздохнула. Сол растерянно заморгал:   ←…→ ";"IPF";"NON-PAST";"PRON";"YES";"NO";"YES";"PRE"
"прощения, «тексте», русский язык как таковой уже плохо просматривается, Вас не напрягает? А то, что для этих будущих поколений уже";"  придется ";"делать переводы Пушкина/ Толстого на этот синтетический язык? Или, может, и вовсе выбросить всю русскую классику за ненадобностью, потому как  ←…→ ";"IPF";"NON-PAST";"PL";"NO ";"NO";"NO";"POST"
"И мама увидела папин мужественный взгляд и поняла: он готов помогать ей и лягушкам. Готов совершить благородный поступок, даже если";"  придется ";"делать это голыми руками. Но на всякий случай — ради безопасности лягушек — мама решила вытаскивать их из ямы сама. — Я буду  ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"YES";"NO";"POST"
"тот застрянет в ней, бегать за ружьем, чтобы сбить шарик и т. д. Представьте, как будет чудно, если все это";"  придется ";"делать вам. Или, например, ваш дом станет для Винни-Пуха местом дармовой еды и прочих удовольствий. Вам это надо?!   ←…→ ";"IPF";"NON-PAST";"PRON";"YES";"NO";"NO";"PRE"
"поиске и подготовке в своих приходах кандидатов к поступлению в семинарии. Если кто-то с этой задачей не будет справляться, видимо,";"  придется ";"делать соответствующие выводы. Конечно, не к каждому епархиальному приходу, даже городскому (что уж говорить о сельских! ), можно применить такие требования  ←…→ ";"IPF";"NON-PAST";"PL";"NO";"YES";"NO";"POST"
"Скидки за раннее бронирование на лето во время кризиса не привлекают российских туристов. Поэтому фирмам, как и в 2009 году,";"  придется ";"делать ставку на популярные направления. Вот только определять, какое из популярных направлений станет наиболее массовым в будущем году, придется, видимо  ←…→ ";"IPF";"NON-PAST";"SG";"YES";"YES";"NO";"POST"
"Не пропущу и не забуду. ― Ты даже не спрашиваешь, что";"  придется ";"делать. ― Я не успел, ― объясняет Кузнечик. ― А что придется делать? ― Много чего, ― загадочно говорит Седой. ― Это может быть даже скучно  ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"NO";"NO";"PRE"
"Что бы ты хотел? Надо определиться с этим заранее, может,";"  придется ";"делать заказ Летунам. ― Ходячие ноги, ― отвечает за Курильщика Черный. ― Влезет в твой праздничный мешок то, что ему по-настоящему нужно?   ←…→ ";"IPF";"NON-PAST";"SG";"NO";"YES";"YES";"POST"
"Особенно если местные власти находятся в конфликте с местным населением. Для стабильности";"  придется ";"делать самое сложное ― начать разговор с обществом не только с помощью силовиков и высоких начальников, а напрямую. Это, правда, сложно  ←…→ ";"IPF";"NON-PAST";"SG";"NO";"CLAUSE";"NO";"POST"
"При муже такое не пройдет. При нем нельзя грубо разговаривать и";"  придется ";"делать то, чем акушеры часто пренебрегают: сразу после рождения выложить ребенка на живот матери, потом приложить его к груди». Мужчины  ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"CLAUSE";"NO";"POST"
"наших врагов ― это факт, и ваша слепость, ― песчано дребезжал Гольцман, поглядывая на скучающего и напряженного Борю, ― факт! Вот из этого";"  придется ";"делать выводы. Так, Капустин? Ответ: Хочу дополнить: товарищ Уманский настаивал, чтобы с ним летел посол Коста-Рики.   ←…→ ";"IPF";"NON-PAST";"PL";"NO";"NO";"NO";"POST"
"Г**** о у нас машины… Если хочешь конфетку, то";"  придется ";"делать её самому… Danil, 2005.04. 25 09: 32. Умеют!   ←…→ ";"IPF";"NON-PAST";"SG";"NO";"NO";"NO";"POST"
"этого знала, что краснуха опасна во время беременности, но серьезно об этом не думала. если я сделаю прививку от краснухи,";"  придется ";"делать перерыв и не стараться забеременить.   ←…→ ";"IPF";"NON-PAST";"SG";"NO";"NO";"NO";"POST"
"Ведь чтобы избавиться от имиджа «схемной», компании понадобится очень много сил и времени. Но это";"  придется ";"делать через некоторое время, пока же на этой схеме можно заработать, кроме того, не так уж и плохо, когда строка  ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"YES";"NO";"PRE"
"А это остается потом на всю жизнь как светлое воспоминание. И будет, право, очень обидно, если все";"  придется ";"делать тайком, ― озираясь, как будто мы что-то украли! Не лишайте меня такой радости. Я ведь поэт, и душа у меня  ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"YES";"NO";"PRE"
"Потом с завучем в школе объясняться пришлось, т. к. она рассуждала по схеме «в шестом классе покрасилась ― в десятом аборт";"  придётся ";"делать»:―(,но на это дело мы папу сподвигли, он своей невозмутимостью на всех учителей действует, как удав на кроликов: -) Теперь  ←…→ ";"IPF";"NON-PAST";"SG";"NO";"NO";"NO";"PRE"
"как минимум 4 раза напоминал в письмах… последний раз совсем недавно, когда писал, что отдам тебе свой блок питания и";"  придется ";"делать новый. Учитывая, сколько времени я потратил на всю эту суету с компом (включая несколько поездок в город), я рассчитывал  ←…→ ";"IPF";"NON-PAST";"SG";"NO";"YES";"NO";"POST"
"Но визуально не определишь.";"  Придется ";"делать соскобы и посылать в лабораторию. Или вот что, давай зафиксируем животное и потянем шерсть вокруг пятна. Если будет легко  ←…→ ";"IPF";"NON-PAST";"PL";"NO";"NO";"NO";"POST"
"такой вариант сталкивается с объективной проблемой ― генерала- «переворотчика» в рамках жесткого саддамовского режима не находится. Поэтому, похоже, ставку все же";"  придется ";"делать на эмигрантов. Алексей МАКАРКИН, руководитель аналитического департамента Центра   ←…→ ";"IPF";"NON-PAST";"SG";"NO";"YES";"NO";"POST"
"Москвой от имени народа, возможны лишь в условиях прекращения огня и предварительной договоренности сторон. Рано или поздно это все равно";"  придется ";"делать. Борис КАГАРЛИЦКИЙ 26.05. 2003   ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"YES";"NO";"PRE"
"и цены на нерегулируемые виды топлива (мазут, уголь) для электроэнергетики не демонстрируют противозатратную направленность во всех без исключения регионах. Сенаторам";"  придется ";"делать выбор: или поддержать мнение своих регионов, или согласиться с либеральными реформаторами. Очевидно, что реальная жизнь явно не в пользу  ←…→ ";"IPF";"NON-PAST";"SG";"YES";"NO";"NO";"POST"
"Дверь прокуратуры отсюда не видна была, надо было подниматься и за десять шагов выходить на прямую обзорную линию. Так и";"  придется ";"делать, только такой отдых с подпрыгами она и может себе позволить. Дважды она поднималась, смотрела поверх двигающихся голов, в разрывах  ←…→ ";"IPF";"NON-PAST";"NO";"NO";"YES";"NO";"NO"
"Третья ошибка: олигархи тратят огромные средства на отмывание своего имиджа за границей. Не исключено, что на тот случай, если";"  придется ";"«делать ноги», как Березовский. Пресса уже называет возможных кандидатов на отъезд ― Абрамовича, Невзлина, Фридмана… Отмываться надо в собственной стране путем  ←…→ ";"IPF";"NON-PAST";"PL";"NO";"NO";"NO";"POST"
"Другие должны будут снижать издержки и привлекать инвестиции, чтобы повысить конкурентоспособность. Причем это";"  придется ";"делать в условиях, когда доходы сократятся либо из-за потери части рынков, либо из-за ценовой конкуренции. Возможно сокращение числа рабочих мест  ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"YES";"NO";"PRE"
"Все бы хорошо, но только рейтинг одного образа партии не всегда автоматически передается другому образу. Теперь правым";"  придется ";"делать новый образ. И то, что он не будет лакированным, несомненно. Чистильщик ― не драпировщик.   ←…→ ";"IPF";"NON-PAST";"SG";"YES";"YES";"NO ";"POST"
"Лучше начать своевременно реформу естественных и локальных (ЖКХ) монополий, чем ограничивать инфляцию. Потому что в последующие годы это все равно";"  придется ";"делать, и тогда цены на услуги монополий резко подскочат, что вызовет всплеск инфляции. «Красивой картины, а именно: ежегодного снижения темпов  ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"YES";"NO ";"PRE"
"ситуации конфликта интересов, то есть имеют возможность извлекать ненадлежащую выгоду из своего должностного положения. Если Кодекс служебного поведения будет принят,";"  придется ";"делать жесткий выбор между государственной службой и бизнесом, интересами государства и своими личными интересами.   ←…→ ";"IPF";"NON-PAST";"SG";"NO";"YES";"NO";"POST"
"И как следствие ― нарушение гидроизоляции, неизбежная деформация и разрушение декоративного оформления. Короче говоря, всю работу";"  придется ";"делать заново, если заранее не подстраховаться ― не проложить дренажную систему на основе предварительных инженерных расчетов. ― То есть вовремя устроенный дренаж  ←…→ ";"IPF";"NON-PAST";"SG";"NO";"YES";"NO";"PRE"
"По словам профессора, впутывать родителей в образовательный процесс просто запрещается. Но если учителя сами не «фильтруют» задания, то это";"  придется ";"делать вам с ребенком. Кроме того, необходимо повышать возможности ребенка к восприятию информации. Развивать способности, которые есть у каждого, и  ←…→ ";"IPF";"NON-PAST";"PRON";"YES";"NO";"NO";"PRE"
"Ты, мама, узнай в магазине, может, можно купить? Все равно же";"  придется ";"делать какой-то подарок… Хочется вас всех увидеть. Хочется домашней еды, не в том смысле, что здесь плохо кормят, а в  ←…→ ";"IPF";"NON-PAST";"SG";"NO";"YES";"NO";"POST"
"нужно было бы, если бы на внутреннем демократическом фронте все обстояло хорошо. Ясно и то, что рано или поздно Президенту";"  придется ";"делать выбор, и чем позже ― тем это будет труднее. Ну, а нельзя ли кроме этих общих рассуждений сказать что-нибудь более  ←…→ ";"IPF";"NON-PAST";"SG";"YES";"YES";"NO ";"POST"
"токсоплазме (результат перенесенной инфекции), бояться нечего: можете перецеловать всех кошек города без малейшего риска заразиться. Если же иммунитета нет, анализ";"  придется ";"делать кошке. С больной или болевшей ранее кошкой придется, как это ни грустно, расстаться (на время). Здоровую кошку нужно будет  ←…→ ";"IPF";"NON-PAST";"SG";"YES";"NO";"NO";"PRE"
"Переговоры руководства транспорта России с японскими коллегами не привели к консенсусу. В связи с этим тренерам и футболистам";"  придется ";"делать во Владивостоке пересадку на менее шумный Ту-154, который и доставит сборную России в Японию». Когда же Александра Тукманова  ←…→ ";"IPF";"NON-PAST";"SG";"YES";"NO";"NO";"POST"
"двигатель сильно «укатан» хозяином, то в его «лечении» не обойтись заменой одной только прокладки головки блока цилиндров. Ремонт, который теоретически";"  придется ";"делать после 60 тыс. км, может стоить от $ 800 до $ 3000 в зависимости от масштабов поломок мотора. Поэтому к осмотру  ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"NO";"NO";"PRE"
"пересечения туристами границ. Судя по тому, что цены в Белоруссии ниже, возможно, ее экономика недостаточно развита, в таком случае России";"  придется ";"делать инвестиции. Уровень развития демократии в этой стране, на мой взгляд, тоже оставляет желать лучшего. Европейские государства очень осторожно и  ←…→ ";"IPF";"NON-PAST";"PL";"YES";"YES";"NO";"POST"
"будет основа на составлении деликатного баланса активов и пассивов комплекса превосходства и неполноценности. Однако это не означает, что власти не";"  придется ";"делать принципиальный выбор. Путин, конечно, президент всех россиян. Просто россияне должны поправеть вместе с властью.   ←…→ ";"IPF";"NON-PAST";"SG";"YES";"YES";"NO";"POST"
"― Я, конечно, именно так не напишу, ― сказала Барбара серьезно. ― Однако что-то в этом духе";"  придется ";"делать, чтобы почитали и в их посольстве тоже, или где там еще у них это читают, если читают. ― Барбара, мне  ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"YES";"NO";"PRE"
"Получается, что на сегодняшней московской конференции стороны получат одну из последних возможностей обменяться мнениями. Затем это";"  придется ";"делать либо в министерских кабинетах, либо на правительстве. На московской конференции «отделаться» рассказами про историю ВТО не удастся. Тем более  ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"YES";"NO";"PRE"
"Ванечка не шевельнулся. Решив, что последний шаг к примирению";"  придется ";"делать самому, Иван Дмитриевич потыкал себя пальцем в щеку и намекающе сложил губы трубочкой: ладно, мол, все забыто, целуй. Сын  ←…→ ";"IPF";"NON-PAST";"SG";"YES";"YES";"NO";"PRE"
"Это, конечно, расширяет рамки компромисса. Но так или иначе, выбор в отношении договора";"  придется ";"делать. Хочется надеяться, что обеим странам удастся избежать ошибок и в ноябре президенты смогут найти такое решение вопроса, которое станет  ←…→ ";"IPF";"NON-PAST";"SG";"NO";"YES";"NO ";"PRE"
"Воды» в Ставропольском нет автовокзала с прямым сообщением с курортами. Туристам, прилетевшим на отдых в Кисловодск, Пятигорск, Ессентуки и Железноводск,";"  придется ";"делать пересадку в краевом центре. Но продлится это недолго ― 9 октября обновленная взлетно-посадочная полоса в Минводах уже будет готова. ― А  ←…→ ";"IPF";"NON-PAST";"SG";"YES";"NO";"NO";"POST"
"До сих пор каждый тип мирового порядка устанавливался силой. Сейчас";"  придется ";"делать исключения из этого правила. Силы, которые есть в руках у тех, кто готовит и несомненно осуществит «акции возмездия», равно  ←…→ ";"IPF";"NON-PAST";"PL";"NO";"YES";"NO";"POST"
"Ты еще не позеленела от количества работы? Если да, то из свадьбы";"  придется ";"делать маскарад, на котором ты будешь гостьей с Марса! Так что жду, жду, жду!!! Адрес у тебя есть.   ←…→ ";"IPF";"NON-PAST";"SG";"NO";"YES";"NO";"POST"
"мы с Ириной обсуждали всю ночь до утра: как мне разговаривать с директором, как спросить, какие будут обязанности, что мне";"  придётся ";"делать, с чем я там встречусь? Ирину всё тревожило: ― Я только думаю ― не будет ли это для тебя слишком тяжёлая  ←…→ ";"IPF";"NON-PAST";"PRON";"YES";"NO";"NO";"PRE"
"Стерильно ли все? ― Если ты продолжишь дискуссию, то укол";"  придется ";"делать в мертвое тело! ― серьезно отозвался капитан. ― Ну что, есть другие идеи?   ←…→ ";"IPF";"NON-PAST";"SG";"NO";"NO";"NO";"PRE"
"Он объяснил Прядову, что, собственно, от него ничего не требуется существенного. Грязную работу ему не";"  придется ";"делать. ― Что сделал Прядов? ― По требованию Ранина он позвонил помощнику Стивена Хопкинса, представился и передал извинения Маревой: мол, встреча переносится  ←…→ ";"IPF";"NON-PAST";"SG";"YES";"YES";"YES";"PRE"
"Словно подслушав ее мысли, он ― тихий и благостный на искрящейся белизной подушке ― просительно улыбнулся: ― Я же сразу предупредил: тебе";"  придется ";"делать то, что я не могу или не хочу. Согласись, иначе на кой подчиненные? Резонно?   ←…→ ";"IPF";"NON-PAST";"PRON";"YES";"CLAUSE";"NO";"POST"
"Чего ты у меня такой ленивый! Неужели и это мне самой";"  придется ";"делать? Постыдись. Ты же ― мужчина!   ←…→ ";"IPF";"NON-PAST";"PRON";"YES";"YES";"NO";"PRE"
"за половину этой суммы, то есть за сто тысяч фунтов, то я буду рад считать тебя своим компаньоном. ― Что мне";"  придется ";"делать? ― жестко и деловито спросил Драган. ― Не знаю, ― честно ответил Сорин.   ←…→ ";"IPF";"NON-PAST";"PRON";"YES";"NO";"NO";"PRE"
"― убеждал я Ильинского. ― А если уж";"  придется ";"делать что-нибудь акробатическое, то пригласим дублера», ― добавил я. У Игоря Владимировича имелись кое-какие претензии к самому сценарию, но мы с  ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"YES";"NO";"POST"
"Рая сказала, что товар есть. Что там дадут его много, но самим";"  придется ";"делать порошки по два грамма и продавать по сколько хотим. Там назвали свою цену и что деньги можно потом. Они  ←…→ ";"IPF";"NON-PAST";"PL";"YES";"YES";"NO";"POST"
"нет. Я грозил тем, что утром выход парка задержится, т. к. сейчас, без света, я осмотреть машины не смогу и";"  придется ";"делать это утром. Обещал составить акт об отключении электропитания на командном пункте стратегического объекта ― вагончике дежурного механика. Диспетчер ДСК: Какой  ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"YES";"NO";"POST"
"― Все согласуем ― командировка будет от ЦК партии. ― А что мне";"  придется ";"делать? ― Ничего особенного. Просто пообщаетесь, узнаете, какие у них настроения, как относятся к нашей стране.   ←…→ ";"IPF";"NON-PAST";"PRON";"YES";"NO";"NO";"PRE"
"Копит деньги на его издание. Чувствует, что опять все";"  придется ";"делать самому. И даже по этому поводу немного грустит.   ←…→ ";"IPF";"NON-PAST";"PRON";"NO";"YES";"NO";"PRE"
"И про Денисова рассказывать нельзя.";"  Придется ";"делать вид, что свои странные выводы по делу о серийных убийствах она сделала, опираясь исключительно на аналитику. Руководство Московского уголовного  ←…→ ";"IPF";"NON-PAST";"SG";"NO";"NO";"NO";"POST"
"И лучший способ сделать это ― пригласить советского премьера на совещание в верхах. Там, хочешь не хочешь, ему";"  придется ";"делать уступки. В конце концов, они достигли компромисса: пусть сначала в Женеве соберутся министры иностранных дел СССР, США, Англии и  ←…→ ";"IPF";"NON-PAST";"PL";"YES";"YES";"NO";"POST"
"будет в роддоме подстраховаться, пусть пригласят хорошего кардиолога, да и хирург не помешает, если Зоя не сможет родить сама и";"  придется ";"делать кесарево. Нельзя рисковать ни самой Зоей, ни тем более ребенком. Малыш должен быть вскормлен материнским молоком, иначе все бессмысленно  ←…→ ";"IPF";"NON-PAST";"SG";"NO";"NO";"NO";"POST"
"ждал высокий крупный мужчина с копной волнистых волос и улыбчивым лицом, представившийся Василием Игнатьевичем. -  Ты в курсе того, что тебе";"  придется ";"делать? ― спросил Василий, когда они сели в машину и поехали в сторону гор. -  Отец сказал, я должен позаниматься математикой с  ←…→ ";"IPF";"NON-PAST";"PRON";"YES";"NO";"NO";"PRE"
"определить, как далеко от метро уехала потерпевшая, если допустить, что читала она в транспорте, а не сидя на лавочке. –  Тогда";"  придется ";"делать разблюдовку на свободные маршруты и забитые. В переполненном автобусе или трамвае она могла ехать какое-то время в давке, и  ←…→ ";"IPF";"NON-PAST";"SG";"NO";"YES";"NO";"POST"
"последних сроках беременности, часто приходят в консультацию в сопровождении мужей. И они стали заранее готовить Параскевич к тому, что ей";"  придется ";"делать кесарево. Между прочим, вполне возможно, что подмена и не понадобилась, у подгулявшей мамочки мог родиться вполне подходящий ребенок. Но  ←…→ ";"IPF";"NON-PAST";"SG";"YES";"NO";"NO";"POST"
"обмануть невозможно. Следовательно, как только появится беременная, у которой Лощинин «почувствует» двойню, ее нужно будет морально готовить к тому, что";"  придется ";"делать кесарево сечение. Причин для этого сколько угодно – и сердечная недостаточность, и повышенное давление, и сильная близорукость, и склонность к  ←…→ ";"IPF";"NON-PAST";"SG";"NO";"NO";"NO";"POST"
"Этого допустить нельзя. От отца они наверняка ничего не могли добиться и не добьются, поэтому заявление для прессы";"  придется ";"делать мне. Если версию с заутреней скушал знаток людских душ, будем надеяться, что она худо-бедно сойдет и для газетчика. ― Зовите  ←…→ ";"IPF";"NON-PAST";"SG";"YES";"NO";"NO";"PRE"
"Тот, кто проиграл, должен сам покончить с собой. И тогда профессору";"  придется ";"делать срочную операцию, чтобы спасти оставшегося в живых. Этому его этика не помешает. ― Тоже трудно.   ←…→ ";"IPF";"NON-PAST";"SG";"YES";"YES";"NO";"POST"
"Квалифицированных спасателей для работы на такой глубине в Самарканде нет. Так что все равно все";"  придется ";"делать самим. Зато поднимут вой до самых небес, начнутся бесконечные бумажки, объяснительные, выяснения ― кто будет платить деньги за спасы. Туристская  ←…→ ";"IPF";"NON-PAST";"PRON";"YES";"YES";"NO";"PRE"
"― Только не подходи к ней близко. Она может укусить, и";"  придется ";"делать уколы от бешенства. Я обещал быть осторожным и, не навязывая свое общество собаке, продолжал ее подкармливать еще несколько дней  ←…→ ";"IPF";"NON-PAST";"PL";"NO";"YES";"NO";"POST"
